Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
125,1216,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
126,1219,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
135,1234,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
136,1232,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
313,1353,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,Yes
314,1356,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
315,1358,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
317,1369,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
324,1388,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
325,1384,Africa - General Freight,019,2015-08-05,"R8,709.37",R803.72,374,No
