Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
545220,5221,PPC - Hercules,302,2015-08-14,"R13,144.60","R3,596.70",483,Yes
545225,5223,PPC - Hercules,302,2015-08-14,"R10,772.17","R2,947.54",494,Yes
545229,5224,PPC - Hercules,302,2015-08-14,"R10,772.17","R2,947.54",494,Yes
545230,"",PPC - Hercules,302,2015-08-14,"R12,811.77","R3,505.63",591,Yes
545231,9033,PPC - Heriotdale,301,2015-08-14,"R4,286.60","R1,406.80",88,Yes
D619,379,PPC - Consolidated,"",2015-08-14,"R10,983.94","R3,005.49",499,Yes
E40,339,Idwala,"",2015-08-14,"R10,772.17","R2,947.54",494,Yes
T12037,5228,PPC - Hercules,302,2015-08-14,"R11,106.97","R3,039.15",509,Yes
T12051,5229,PPC - Hercules,302,2015-08-14,"R11,106.97","R3,039.15",509,Yes
T12063,5230,PPC - Hercules,302,2015-08-14,"R11,106.97","R3,039.15",509,Yes
T12087,5231,PPC - Hercules,302,2015-08-14,"R11,106.97","R3,039.15",509,Yes
T12136,5232,PPC - Hercules,302,2015-08-14,"R11,106.97","R3,039.15",509,Yes
T2900,5233,PPC - Hercules,302,2015-08-14,"R11,405.79","R3,120.92",427,Yes
T2912,5234,PPC - Hercules,302,2015-08-14,"R11,405.79","R3,120.92",427,Yes
T2962,"",PPC - Hercules,302,2015-08-14,"R13,144.60","R3,596.70",483,Yes
T2974,"",PPC - Hercules,302,2015-08-14,"R11,405.79","R3,120.92",427,Yes
T2986,5237,PPC - Hercules,302,2015-08-14,"R11,405.79","R3,120.92",427,Yes
T2998,5238,PPC - Hercules,302,2015-08-14,"R11,405.79","R3,120.92",427,Yes
T3001,5239,PPC - Hercules,302,2015-08-14,"R13,144.60","R3,596.70",483,Yes
