Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
163,9055a,Africa - Copperbelt Fleet,010,2015-08-01,"R8,629.71",R983.78,373,No
164,9052a,Africa - Copperbelt Fleet,010,2015-08-01,"R8,629.71",R983.78,373,No
165,9050,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
166,9056x,Africa - Copperbelt Fleet,010,2015-08-01,"R8,629.71",R983.78,373,No
167,9053x,Africa - Copperbelt Fleet,010,2015-08-01,"R8,629.71",R983.78,373,Yes
318,1367,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
319,1374,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,Yes
320,13701,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
321,1371,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
322,1373,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
326,1389,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
327,1390,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,Yes
57,30061,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,Yes
58,30063,Africa - General Freight,019,2015-08-01,"R8,627.20",R803.72,374,No
