Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
107,1202,LWT Fleet,002,2015-08-06,"R7,541.75",R758.95,473,No
111,1218,LWT Fleet,002,2015-08-06,"R9,724.50","R2,223.85",540,Yes
119,1188,Freight - Volumax Fleet,005,2015-08-06,"R7,541.75",R758.95,473,Yes
120,1189,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,Yes
121,1190,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,No
122,1195,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,No
123,1194,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,No
124,1203,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,Yes
125,1216,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
126,1219,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
127,5564,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,Yes
128,1231,LWT Fleet,002,2015-08-06,"R7,541.75",R758.95,473,No
129,1228,Ashton Fleet,004,2015-08-06,"R7,236.92","R1,618.24",385,No
131,1229,LWT Fleet,002,2015-08-06,"R9,724.50","R2,223.85",540,Yes
132,1227,LWT Fleet,002,2015-08-06,"R9,724.50","R2,223.85",540,Yes
133,1225,Ashton Fleet,004,2015-08-06,"R7,236.92","R1,618.24",385,No
134,1226,Ashton Fleet,004,2015-08-06,"R7,236.92","R1,618.24",385,No
135,1234,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
136,1232,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
138,1139,Freight - Volumax Fleet,005,2015-08-06,"R7,541.75",R758.95,473,No
144,1172,LWT Fleet,002,2015-08-06,"R6,989.60",R721.45,444,Yes
244,1233,Ashton Fleet,004,2015-08-06,"R7,236.92","R1,618.24",385,No
245,1235,LWT Fleet,002,2015-08-06,"R7,541.75",R758.95,473,No
246,1178,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
247,1179,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
248,1186,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
250,1187,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
252,1192,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
253,1193,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
254,1204,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
255,1205,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
256,1196,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
257,1197,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
258,1198,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
259,1200,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
260,1201,Wilmar Bulk Fleet,324,2015-08-06,"R5,687.36","R1,259.73",25,Yes
261,1211,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
262,1217,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
263,1213,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
264,1212,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
265,1215,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
266,1214,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,No
267,1221,LWT Fleet,002,2015-08-06,"R6,989.60",R721.45,444,No
268,1223,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
269,1222,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,No
270,1220,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,No
299,1340,LWT Fleet,002,2015-08-06,"R9,724.50","R2,223.85",540,Yes
304,1352,LWT Fleet,002,2015-08-06,"R9,724.50","R2,223.85",540,No
324,1388,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
325,1384,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
326,1389,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
327,1390,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,Yes
329,"",LD,001,2015-08-06,"R7,541.75",R758.95,473,No
330,5571,LD,001,2015-08-06,"R7,541.75",R758.95,473,No
335,30184,LD,001,2015-08-06,"R9,724.50","R2,223.85",540,Yes
338,1398,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,No
339,1396,Africa - Copperbelt Fleet,010,2015-08-06,"R8,711.90",R983.78,373,No
340,1399,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
341,1397,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
342,30208,Africa - General Freight,019,2015-08-06,"R8,709.37",R803.72,374,No
343,30207,Freight - Volumax Fleet,005,2015-08-06,"R6,989.60",R721.45,444,No
68,1133,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
95,1143,LD,001,2015-08-06,"R7,541.75",R758.95,473,Yes
