Truck,Date,Income,Contribution,Kms,Blackout Status
144006,2015-03-31,"R7,129.53","R1,212.02",289,Yes
144007,2015-03-31,"R7,129.53","R1,212.02",289,Yes
340001,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340002,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340003,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340004,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340005,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340006,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340007,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340008,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340009,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340010,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340011,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340012,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340013,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340014,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340015,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340016,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340017,2015-03-31,"R8,157.69","R1,223.65",586,Yes
340018,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340019,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340020,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340021,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340022,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340023,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340024,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340025,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340026,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340027,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340028,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340029,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340030,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340031,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340032,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340033,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340034,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340035,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340036,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340037,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340038,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340039,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340040,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340041,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340042,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340043,2015-03-31,"R8,216.20","R1,396.75",598,Yes
340044,2015-03-31,"R8,216.20","R1,396.75",598,Yes
343001,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343003,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343013,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343017,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343018,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343020,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343021,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343023,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343024,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343029,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343036,2015-03-31,"R7,469.34","R1,269.79",564,Yes
343037,2015-03-31,"R7,469.34","R1,269.79",564,Yes
444003,2015-03-31,"R6,795.34","R1,155.21",246,Yes
444004,2015-03-31,"R6,795.34","R1,155.21",246,Yes
647001,2015-03-31,"R10,779.74","R1,832.56",614,Yes
647002,2015-03-31,"R10,779.74","R1,832.56",614,Yes
647003,2015-03-31,"R10,779.74","R1,832.56",614,Yes
647006,2015-03-31,"R10,779.74","R1,832.56",614,No
647007,2015-03-31,"R10,779.74","R1,832.56",614,Yes
