Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
107,1202,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
119,1188,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
128,1231,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
154,30116,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
245,1235,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
261,1211,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
262,1217,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
263,1213,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
264,1212,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
265,1215,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
268,1223,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
329,9054,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
330,5571,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
333,30182,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
334,30181,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
349,30202,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
362,30289,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
363,30229,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
365,30224,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
366,30288,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
367,30397,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
369,30231,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
370,30232,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
375,30369,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
376,30367,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
379,30370,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
382,30398,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
383,30396,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
384,412,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
385,30483,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
386,31075,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
413,31018,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
415,31020,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
417,31022,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
422,31027,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
424,31029,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
426,31031,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
428,31033,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,Yes
436,31041,LD,34.000,001,2015-09-09,"R7,719.20",R874.71,484,No
