Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
135001,5140,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
135002,5141,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
135004,5142,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140250,5132,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140251,5133,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140252,5134,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140253,5135,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140254,5136,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140255,5137,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
140256,5138,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R8,785.55",R439.28,193,Yes
140257,5139,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
141002,5144,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R8,785.55",R439.28,193,Yes
141008,5146,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
141009,5147,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
141010,5148,Meadow Feeds - Pmb,40.000,316,2015-08-24,"R5,618.93",R449.51,193,Yes
