Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
143003,5263,EHL - P.E,40.000,336,2015-08-01,"R3,612.12",R650.18,160,Yes
525201,5205,Toyota - X Dock,40.000,327,2015-08-01,"R2,872.37",R517.03,160,Yes
538253,5192,EHL - Gauteng,40.000,337,2015-08-01,"R3,612.12",R650.18,160,Yes
538254,5193,EHL - Gauteng,40.000,337,2015-08-01,"R3,612.12",R650.18,160,Yes
538255,5194,EHL - Gauteng,40.000,337,2015-08-01,"R3,612.12",R650.18,160,Yes
538256,5195,EHL - Gauteng,40.000,337,2015-08-01,"R3,612.12",R650.18,160,Yes
538257,5196,EHL - Gauteng,40.000,337,2015-08-01,"R2,830.40",R509.47,154,Yes
545236,5069,Toyota Tsusho,"",329,2015-08-01,"R12,693.49","R3,757.68",735,Yes
545249,9722,Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
545250,"",Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
545251,9723,Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
545252,9724,Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
545253,9720,Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
545254,"",Toyota - X Dock,40.000,327,2015-08-01,"R12,252.32","R2,205.42",775,Yes
C1,5125,Toyota Tsusho,"",329,2015-08-01,"R1,032.13",R305.54,51,Yes
C2,5126,Toyota - X Dock,40.000,327,2015-08-01,"R1,922.57",R346.06,161,Yes
C3,5127,Toyota Tsusho,"",329,2015-08-01,"R1,032.13",R305.54,51,Yes
Hire1,5217,Toyota - X Dock,40.000,327,2015-08-01,"R2,243.61",R403.85,161,Yes
Hire2,5218,Toyota - X Dock,40.000,327,2015-08-01,"R2,243.61",R403.85,161,Yes
Hire3,5219,Toyota - X Dock,40.000,327,2015-08-01,"R2,243.61",R403.85,161,Yes
IMV1,5128,Toyota Tsusho,"",329,2015-08-01,"R1,032.13",R305.54,51,Yes
IMV2,5129,Toyota Tsusho,"",329,2015-08-01,"R1,032.13",R305.54,51,Yes
IMV3,5068,Toyota Tsusho,"",329,2015-08-01,"R1,032.13",R305.54,51,Yes
